Table 1
SI.No,Category,Test Code,Test Names,Test Name-Telugu,Symptoms,Symptoms In telugu,,,
1,Weakness,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
2,,DRS100,Hemoglobin-WB-EDTA,హీమోగ్లోబిన్-WB-EDTA,"Pale skin, fatigue, dizziness","చర్మం వెలిసిపోవడం, అలసట, తల తిరగడం",,,
3,,DRS125,Iron Defficiency Profile-I,ఇనుము లోపం ప్రొఫైల్-I,"Fatigue, weakness, pale skin, dizziness, shortness of breath, hair fall","అలసట, బలహీనత, చర్మం వెలిసిపోవడం, తల తిరగడం, శ్వాస తీసుకోవడంలో ఇబ్బంది, జుట్టు రాలడం",,,
4,,DRS190,Vitamin-B12-Serum,విటమిన్-బి12-సీరం,"Numbness, fatigue, memory issues","మత్తుగా అనిపించడం/సూదుల్లా గుచ్చిన భావన, అలసట, జ్ఞాపకశక్తి సమస్యలు",,,
5,,DRS002,25-Hydroxy Vitamin D-Serum,25-హైడ్రాక్సీ విటమిన్ డి-సీరం,"Bone pain, fatigue, muscle weakness, frequent fractures","ఎముకల నొప్పి, అలసట, కండరాల బలహీనత, తరచుగా ఎముకలు విరగడం",,,
6,,DRS173,Thyroid Profile-Total,థైరాయిడ్ ప్రొఫైల్-టోటల్,"Weight changes, fatigue, hair loss","బరువు మార్పులు, అలసట, జుట్టు ఊడడం",,,
7,,DRS091,Glucose-Blood-Fasting,గ్లూకోజ్-బ్లడ్-ఫాస్టింగ్,"Excess thirst, frequent urination, fatigue","అధిక దాహం, తరచుగా మూత్ర విసర్జన, అలసట",,,
8,,DRS094,Glycosylated Hemoglobin (GHb/HbA1c)-WB-EDTA,గ్లైకోసిలేటెడ్ హిమోగ్లోబిన్ (GHb/HbA1c)-WB-EDTA,"Diabetes monitoring, fatigue, blurred vision","మధుమేహం పర్యవేక్షణ, అలసట, మసక చూపు",,,
9,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
10,,DRS133,Liver Function Test (LFT)-Serum,లివర్ ఫంక్షన్ టెస్ట్ (LFT)-సీరం,"Jaundice, abdominal pain, fatigue","కామెర్లు, పొట్ట నొప్పి, అలసట",,,
11,,DRS080,Electrolyte Profile-Serum,ఎలక్ట్రోలైట్ ప్రొఫైల్-సీరం,"Dehydration, muscle cramps, weakness","డీహైడ్రేషన్, కండరాల ముల్లు, బలహీనత",,,
12,,DRS041,Calcium-Serum,కాల్షియం-సీరం,"Muscle cramps, tingling, bone weakness","కండరాల మలుపులు, సూదుల్లా గుచ్చినట్లు అనిపించడం, ఎముకల బలహీనత",,,
13,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
14,,DRS065,Creatinine Kinase (CPK)-Serum,క్రియాటినిన్ కైనేజ్ (CPK)-సీరం,"Muscle pain, muscle weakness, chest pain","కండరాల నొప్పి, కండరాల బలహీనత, ఛాతి నొప్పి",,,
15,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
16,,DRS056,Complete Urine Analysis (CUE)-Urine,కంప్లీట్ యూరిన్ అనాలిసిస్,"Burning urination, infection, kidney issues","మూత్రంలో మంట, సంక్రామణ, కిడ్నీ సమస్యలు",,,
17,Fever,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
18,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
19,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
20,,DRS078,Dengue Profile (Antibody & NS1 Antigen) IGG &IGM ) RAPID,డెంగ్యూ ప్రొఫైల్ (యాంటీబాడీ & NS1 యాంటిజెన్) IGG & IGM ర్యాపిడ్,"High fever, body pain, low platelets","అధిక జ్వరం, శరీర నొప్పులు, ప్లేట్",,,
21,,DRS136,Malarial Parasite Identification-WB-EDTA,మలేరియా పరాన్నజీవి గుర్తింపు-WB-EDTA,"Fever with chills, sweating, body pain","వణుకులతో జ్వరం, చెమటలు, శరీర నొప్పులు",,,
22,,DRS133,Liver Function Test (LFT)-Serum,లివర్ ఫంక్షన్ టెస్ట్ (LFT)-సీరం,"Jaundice, abdominal pain, fatigue","కామెర్లు, పొట్ట నొప్పి, అలసట",,,
23,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
24,,DRS145,Procalcitonin,ప్రోకాల్సిటోనిన్,"Severe infection, high fever, sepsis signs",తీవ్రమైన ఇన్,,,
25,,DRS143,Platelet Count (PC)-WB-EDTA,ప్లేట్,"Bleeding, dengue fever, easy bruising","రక్తస్రావం, డెంగ్యూ జ్వరం, సులభంగా మచ్చలు పడటం",,,
26,Pain,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
27,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
28,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
29,,DRS160,Rheumatoid Factor (RA Test)-Serum,రుమటాయిడ్ ఫ్యాక్టర్ (RA టెస్ట్)-సీరం,"Joint pain, stiffness, arthritis","కీళ్ల నొప్పి, గట్టిదనం, ఆర్థరైటిస్",,,
30,,DRS024,Anti-CCP-Serum,యాంటీ-సీసీపీ-సీరం,"Joint pain, morning stiffness, swollen joints","కీళ్ల నొప్పి, ఉదయం గట్టిపడటం, కీళ్ల వాపు",,,
31,,DRS188,Uric Acid-Serum,యూరిక్ యాసిడ్-సీరం,"Joint pain, gout, swelling","కీళ్ల నొప్పి, గౌట్, వాపు",,,
32,,DRS041,Calcium-Serum,కాల్షియం-సీరం,"Muscle cramps, tingling, bone weakness","కండరాల మలుపులు, సూదుల్లా గుచ్చినట్లు అనిపించడం, ఎముకల బలహీనత",,,
